,koi_pdisposition,koi_impact,koi_duration,koi_depth,koi_ror,koi_srho,koi_prad,koi_teq,koi_insol,koi_dor,koi_num_transits,koi_steff,koi_slogg,koi_srad,koi_smass
5054,1,0.193,6.49,124.4,0.010243,0.60326,2.24,967.0,207.16,23.39,69.0,6120.0,3.9339999999999997,2.0,1.251
5055,1,0.95,21.4,1504.2,0.046999,0.03972,3.15,144.0,0.1,85.1,3.0,4378.0,4.64,0.614,0.601
5056,1,0.001,3.762,49.7,0.006453,0.5161100000000001,1.41,1791.0,2436.47,6.48,410.0,6120.0,3.9339999999999997,2.0,1.251
5057,1,0.551,6.995,224.4,0.014204,0.89425,1.57,508.0,15.78,54.7,21.0,6158.0,4.397,1.013,0.934
5058,1,0.853,5.09,89.2,0.009909999999999999,0.07069,1.25,1040.0,276.02,5.51,193.0,5808.0,4.3260000000000005,1.159,1.038
5059,1,0.355,8.432,161.2,0.011845,0.27848,2.18,903.0,157.09,19.96,54.0,6602.0,4.1080000000000005,1.685,1.333
5060,1,0.748,6.149,75.1,0.008588,0.09802000000000001,1.58,1260.0,595.97,7.23,151.0,6602.0,4.1080000000000005,1.685,1.333
5061,0,0.522,4.79,216.3,0.013895,5.97078,7.23,786.0,90.09,164.1,7.0,6190.0,3.34,4.763,1.811
5062,1,0.925,2.1521,345.7,0.021227,1.4014,0.8,276.0,1.38,31.3,65.0,3419.0,4.904,0.344,0.346
5063,0,1.182,6.401,290.4,0.199499,0.01235,48.52,721.0,63.8,10.78,31.0,5611.0,3.842,2.227,1.259
5064,0,0.871,5.2847599999999995,58381.0,0.298387,6.73032,54.38,413.0,6.89,183.46,10.0,5102.0,3.9619999999999997,1.669,0.932
5065,0,0.79,5.65214,204150.0,0.550225,0.4911,93.01,1454.0,1056.61,7.831,150.0,6386.0,4.208,1.548,1.408
5066,0,0.88,9.72673,142500.0,0.49785100000000004,3.23429,38.49,260.0,1.09,188.55,7.0,5359.0,4.566,0.708,0.673
5067,1,0.292,2.399,154.4,0.011486,6.50694,1.34,870.0,135.43,36.2,98.0,6193.0,4.434,1.067,1.127
5068,1,0.681,1.8846,142.7,0.011608,0.92006,1.06,1270.0,615.67,5.16,788.0,5201.0,4.573,0.834,0.948
5069,0,0.78,7.66397,196110.0,0.531564,4.928719999999999,42.78,259.0,1.06,150.96,13.0,4412.0,4.565,0.737,0.729
5070,1,0.96,3.499,250.0,0.019441,0.09325,1.7,674.0,48.88,8.7,113.0,5149.0,4.506,0.803,0.755
5071,1,0.416,3.073,211.9,0.013484000000000001,2.65936,1.33,771.0,83.39,26.6,73.0,5718.0,4.479,0.9,0.89
5072,1,0.587,4.882,229.1,0.014431999999999999,0.66987,1.6,773.0,84.23,21.11,72.0,6187.0,4.4319999999999995,1.013,1.007
